	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	1.53861	1538	6	1	2	1	35	0	48	0	0	-38.1109	 	1	1
DL	1.53911	1539	1	1	2	1	35	0	48	0	1	-38.1056	 	1	1
DL	1.53961	1539	6	1	2	1	35	0	48	0	2	-38.1008	 	1	1
DL	1.54011	1540	1	1	2	1	35	0	48	0	3	-38.0968	 	1	0.999996
DL	1.64311	1643	1	1	2	1	36	0	48	0	0	-44.1114	 	1	1
DL	1.64361	1643	6	1	2	1	36	0	48	0	1	-44.1198	 	1	1
DL	1.64411	1644	1	1	2	1	36	0	48	0	2	-44.1258	 	1	1
DL	1.64461	1644	6	1	2	1	36	0	48	0	3	-44.1291	 	1	0.999996
DL	1.74361	1743	6	1	2	1	37	0	48	0	0	-37.0084	 	1	1
DL	1.74411	1744	1	1	2	1	37	0	48	0	1	-37.0027	 	1	1
DL	1.74461	1744	6	1	2	1	37	0	48	0	2	-36.9972	 	1	1
DL	1.74511	1745	1	1	2	1	37	0	48	0	3	-36.9922	 	1	0.999996
DL	1.84811	1848	1	1	2	1	38	0	48	0	0	-37.2634	 	1	1
DL	1.84861	1848	6	1	2	1	38	0	48	0	1	-37.2624	 	1	1
DL	1.84911	1849	1	1	2	1	38	0	48	0	2	-37.2618	 	1	1
DL	1.84961	1849	6	1	2	1	38	0	48	0	3	-37.2615	 	1	0.999996
DL	1.94861	1948	6	1	2	1	39	0	48	0	0	-35.0213	 	1	1
DL	1.94911	1949	1	1	2	1	39	0	48	0	1	-35.0223	 	1	1
DL	1.94961	1949	6	1	2	1	39	0	48	0	2	-35.0254	 	1	1
DL	1.95011	1950	1	1	2	1	39	0	48	0	3	-35.0306	 	1	0.999996
